policy_id,policy_name,scope_type,scope_id,policy_category,runtime_mode,implementation_status,requires_student_state,applies_to_program_ids,rule_summary,source_url,notes
STAND_01,Credits to standing classification,university,UNIVERSITY_UG,academic_status,block,runtime_ready,,,"Freshman 0-23cr; Sophomore 24-59; Junior 60-89; Senior 90+",https://bulletin.marquette.edu/policies/classification-undergraduate/,semester_recommender.py _credits_to_standing
STAND_02,Standing-based course eligibility,university,UNIVERSITY_UG,academic_status,warning,runtime_ready,,,Courses with standing_requirement soft tag warn if student is below min standing; min_standing inferred from course level digit minus 1 when not explicit,https://bulletin.marquette.edu/policies/classification-undergraduate/,eligibility.py _evaluate_standing_requirement
CENS_01,College probation GPA threshold,university,UNIVERSITY_UG,academic_status,advisory,deferred,cumulative_gpa,,Students placed on college academic probation per individual college policies,https://bulletin.marquette.edu/policies/academic-censure/undergraduate/,Requires GPA input; college-specific thresholds vary
CENS_02,Academic dismissal GPA — 24cr or fewer,university,UNIVERSITY_UG,academic_status,advisory,deferred,cumulative_gpa;attempted_credits,,Students with 24 or fewer attempted credits dismissed if cumulative GPA below 1.500,https://bulletin.marquette.edu/policies/academic-censure/undergraduate/,Checked at end of each spring term
CENS_03,Academic dismissal GPA — over 24cr,university,UNIVERSITY_UG,academic_status,advisory,deferred,cumulative_gpa;attempted_credits,,Students with more than 24 attempted credits dismissed if cumulative GPA below 2.000,https://bulletin.marquette.edu/policies/academic-censure/undergraduate/,Checked at end of each spring term
CRED_01,Full-time enrollment minimum,university,UNIVERSITY_UG,credit_load,warning,runtime_ready,,,Full-time status requires minimum 12 credits per fall/spring term; 9-11 is three-quarter time; 6-8 is half-time,https://bulletin.marquette.edu/policies/credit-load/undergraduate/,semester_recommender.py semester_warnings
CRED_02,Normal undergraduate load,university,UNIVERSITY_UG,credit_load,warning,runtime_ready,,,Normal full-time undergraduate load is 15-18 credits per fall/spring term,https://bulletin.marquette.edu/policies/credit-load/undergraduate/,semester_recommender.py semester_warnings
CRED_03,CAS max credit load,college,COLLEGE_ARTS_SCIENCES_UG,credit_load,warning,out_of_scope,,,Arts and Sciences students max 20 credits per fall/spring term excluding J-session,https://bulletin.marquette.edu/policies/credit-load/undergraduate/,No CAS programs in planner yet
CRED_04,CoBA max credit load,college,COLLEGE_BUSINESS_UG,credit_load,warning,runtime_ready,,,Business Administration students max 19 credits per fall/spring term excluding J-session; overload needs dean approval,https://bulletin.marquette.edu/policies/credit-load/undergraduate/,semester_recommender.py semester_warnings; currently applied universally since all programs are CoBA
CRED_05,Communication max credit load,college,COLLEGE_COMMUNICATION_UG,credit_load,warning,out_of_scope,,,Communication students max 19 credits per fall/spring term,https://bulletin.marquette.edu/policies/credit-load/undergraduate/,
CRED_06,Education max credit load,college,COLLEGE_EDUCATION_UG,credit_load,warning,out_of_scope,,,Education students max 20 credits per fall/spring term,https://bulletin.marquette.edu/policies/credit-load/undergraduate/,
CRED_07,Engineering max credit load,college,COLLEGE_ENGINEERING_UG,credit_load,warning,out_of_scope,,,Engineering students max 20 credits per fall/spring term,https://bulletin.marquette.edu/policies/credit-load/undergraduate/,
CRED_08,Health Sciences max credit load,college,COLLEGE_HEALTH_SCIENCES_UG,credit_load,warning,out_of_scope,,,Health Sciences students max 19 credits per fall/spring term,https://bulletin.marquette.edu/policies/credit-load/undergraduate/,
CRED_09,Nursing max credit load,college,COLLEGE_NURSING_UG,credit_load,warning,out_of_scope,,,Nursing students max 18 credits per fall/spring term,https://bulletin.marquette.edu/policies/credit-load/undergraduate/,
CRED_10,Summer session max,university,UNIVERSITY_UG,credit_load,warning,runtime_ready,,,Maximum 8 credits per summer session; 16 credits per summer term total,https://bulletin.marquette.edu/policies/credit-load/undergraduate/,semester_recommender.py warns if summer recs exceed 16 total credits
CRED_11,J-session max,university,UNIVERSITY_UG,credit_load,warning,deferred,,,Maximum 4 credits per J-session,https://bulletin.marquette.edu/policies/credit-load/undergraduate/,J-session not modeled in planner
CRED_12,Credit overload dean consent,university,UNIVERSITY_UG,credit_load,advisory,deferred,,,Juniors and seniors may exceed college max credit load with dean/dean designee consent,https://bulletin.marquette.edu/policies/credit-load/undergraduate/,Cannot verify dean approval
CRED_13,Non-degree student credit max,university,UNIVERSITY_UG,credit_load,advisory,deferred,enrollment_type,,Non-degree students normally limited to maximum 7 credits per term,https://bulletin.marquette.edu/policies/credit-load/undergraduate/,
CRED_14,No concurrent registration,university,UNIVERSITY_UG,credit_load,advisory,deferred,,,Students may not pursue credit at another institution while enrolled at MU unless authorized by dean,https://bulletin.marquette.edu/policies/credit-load/undergraduate/,
GRAD_01,Total credits for degree,university,UNIVERSITY_UG,gpa_requirement,advisory,deferred,,,Minimum 120 credits earned required for baccalaureate degree,https://bulletin.marquette.edu/policies/graduation/undergraduate/,Not all students use MarqBot for full graduation planning; most pick 1-3 semesters not all 8. Reference only for now.
GRAD_02,Minimum cumulative GPA,university,UNIVERSITY_UG,gpa_requirement,advisory,deferred,cumulative_gpa,,Minimum 2.000 cumulative GPA required for graduation,https://bulletin.marquette.edu/policies/graduation/undergraduate/,
GRAD_03,Marquette residency 45 credits,university,UNIVERSITY_UG,transfer_and_external_study,advisory,deferred,transfer_credits,,Minimum 45 credits must be earned at Marquette; up to 15 of 45 may be from approved study abroad,https://bulletin.marquette.edu/policies/graduation/undergraduate/,Could add optional transfer_credits input
